           rhox         t           p          xne        xnatom        rho
    1   4.159E-07   3.340E+03   5.161E-01   9.287E+07   1.119E+12   2.392E-12
    2   1.572E-06   3.338E+03   5.373E-01   9.629E+07   1.166E+12   2.492E-12
    3   3.059E-06   3.334E+03   5.642E-01   1.005E+08   1.226E+12   2.620E-12
    4   5.019E-06   3.327E+03   5.962E-01   1.054E+08   1.298E+12   2.775E-12
    5   7.605E-06   3.310E+03   6.262E-01   1.091E+08   1.371E+12   2.929E-12
    6   1.106E-05   3.288E+03   6.644E-01   1.133E+08   1.464E+12   3.128E-12
    7   1.569E-05   3.264E+03   7.191E-01   1.190E+08   1.596E+12   3.412E-12
    8   2.193E-05   3.239E+03   8.009E-01   1.275E+08   1.791E+12   3.829E-12
    9   3.033E-05   3.221E+03   9.264E-01   1.413E+08   2.084E+12   4.454E-12
   10   4.116E-05   3.223E+03   1.137E+00   1.681E+08   2.555E+12   5.460E-12
   11   5.455E-05   3.249E+03   1.444E+00   2.122E+08   3.220E+12   6.883E-12
   12   7.060E-05   3.286E+03   1.832E+00   2.710E+08   4.040E+12   8.635E-12
   13   8.965E-05   3.333E+03   2.319E+00   3.489E+08   5.042E+12   1.078E-11
   14   1.126E-04   3.366E+03   2.797E+00   4.240E+08   6.019E+12   1.287E-11
   15   1.413E-04   3.391E+03   3.291E+00   4.992E+08   7.032E+12   1.503E-11
   16   1.778E-04   3.393E+03   3.742E+00   5.579E+08   7.991E+12   1.708E-11
   17   2.237E-04   3.432E+03   4.496E+00   6.779E+08   9.491E+12   2.029E-11
   18   2.761E-04   3.516E+03   5.722E+00   8.963E+08   1.179E+13   2.520E-11
   19   3.352E-04   3.643E+03   7.523E+00   1.228E+09   1.496E+13   3.198E-11
   20   4.051E-04   3.749E+03   9.723E+00   1.607E+09   1.878E+13   4.015E-11
   21   4.890E-04   3.846E+03   1.233E+01   2.040E+09   2.322E+13   4.962E-11
   22   5.900E-04   3.881E+03   1.490E+01   2.452E+09   2.780E+13   5.942E-11
   23   7.105E-04   3.891E+03   1.760E+01   2.877E+09   3.276E+13   7.002E-11
   24   8.558E-04   3.833E+03   1.989E+01   3.195E+09   3.759E+13   8.033E-11
   25   1.045E-03   3.627E+03   2.060E+01   2.969E+09   4.115E+13   8.795E-11
   26   1.331E-03   3.462E+03   2.099E+01   2.507E+09   4.393E+13   9.390E-11
   27   1.679E-03   3.562E+03   2.248E+01   3.005E+09   4.573E+13   9.775E-11
   28   2.070E-03   3.646E+03   2.518E+01   3.584E+09   5.002E+13   1.069E-10
   29   2.541E-03   3.694E+03   2.918E+01   4.225E+09   5.723E+13   1.223E-10
   30   3.103E-03   3.699E+03   3.602E+01   5.086E+09   7.055E+13   1.508E-10
   31   3.718E-03   3.702E+03   4.817E+01   6.523E+09   9.428E+13   2.015E-10
   32   4.375E-03   3.729E+03   6.387E+01   8.481E+09   1.241E+14   2.652E-10
   33   5.089E-03   3.770E+03   8.268E+01   1.092E+10   1.589E+14   3.396E-10
   34   5.886E-03   3.793E+03   1.026E+02   1.337E+10   1.960E+14   4.189E-10
   35   6.804E-03   3.814E+03   1.233E+02   1.587E+10   2.343E+14   5.007E-10
   36   7.871E-03   3.837E+03   1.476E+02   1.882E+10   2.787E+14   5.956E-10
   37   9.127E-03   3.857E+03   1.694E+02   2.150E+10   3.182E+14   6.801E-10
   38   1.058E-02   3.896E+03   1.970E+02   2.522E+10   3.664E+14   7.831E-10
