           rhox         t           p          xne        xnatom        rho
   39   1.228E-02   3.945E+03   2.285E+02   2.972E+10   4.196E+14   8.967E-10
   40   1.428E-02   3.989E+03   2.574E+02   3.393E+10   4.675E+14   9.993E-10
   41   1.666E-02   4.049E+03   2.939E+02   3.953E+10   5.259E+14   1.124E-09
   42   1.948E-02   4.118E+03   3.338E+02   4.585E+10   5.871E+14   1.255E-09
   43   2.287E-02   4.176E+03   3.771E+02   5.246E+10   6.541E+14   1.398E-09
   44   2.689E-02   4.238E+03   4.365E+02   6.127E+10   7.460E+14   1.595E-09
   45   3.152E-02   4.310E+03   5.192E+02   7.348E+10   8.725E+14   1.865E-09
   46   3.680E-02   4.353E+03   6.237E+02   8.805E+10   1.038E+15   2.218E-09
   47   4.271E-02   4.369E+03   7.537E+02   1.051E+11   1.250E+15   2.671E-09
   48   4.923E-02   4.389E+03   9.328E+02   1.282E+11   1.540E+15   3.291E-09
   49   5.629E-02   4.414E+03   1.148E+03   1.559E+11   1.884E+15   4.026E-09
   50   6.442E-02   4.424E+03   1.338E+03   1.795E+11   2.191E+15   4.683E-09
   51   7.404E-02   4.424E+03   1.564E+03   2.062E+11   2.561E+15   5.475E-09
   52   8.456E-02   4.474E+03   1.951E+03   2.561E+11   3.159E+15   6.752E-09
   53   9.614E-02   4.506E+03   2.381E+03   3.095E+11   3.828E+15   8.181E-09
   54   1.090E-01   4.492E+03   2.924E+03   3.683E+11   4.715E+15   1.008E-08
   55   1.236E-01   4.429E+03   3.406E+03   4.059E+11   5.572E+15   1.191E-08
   56   1.414E-01   4.395E+03   3.834E+03   4.386E+11   6.320E+15   1.351E-08
   57   1.632E-01   4.393E+03   4.250E+03   4.770E+11   7.011E+15   1.498E-08
   58   1.895E-01   4.414E+03   4.736E+03   5.296E+11   7.777E+15   1.662E-08
   59   2.209E-01   4.456E+03   5.332E+03   6.015E+11   8.672E+15   1.853E-08
   60   2.579E-01   4.507E+03   6.050E+03   6.911E+11   9.726E+15   2.079E-08
   61   3.016E-01   4.520E+03   6.890E+03   7.769E+11   1.105E+16   2.361E-08
   62   3.531E-01   4.525E+03   7.916E+03   8.747E+11   1.268E+16   2.710E-08
   63   4.141E-01   4.514E+03   9.118E+03   9.747E+11   1.464E+16   3.130E-08
   64   4.867E-01   4.503E+03   1.038E+04   1.075E+12   1.672E+16   3.573E-08
   65   5.738E-01   4.483E+03   1.191E+04   1.182E+12   1.927E+16   4.118E-08
   66   6.769E-01   4.484E+03   1.378E+04   1.327E+12   2.229E+16   4.763E-08
   67   7.972E-01   4.500E+03   1.600E+04   1.514E+12   2.579E+16   5.512E-08
   68   9.362E-01   4.541E+03   1.860E+04   1.765E+12   2.970E+16   6.349E-08
   69   1.094E+00   4.604E+03   2.172E+04   2.103E+12   3.422E+16   7.314E-08
   70   1.275E+00   4.675E+03   2.530E+04   2.509E+12   3.924E+16   8.387E-08
   71   1.481E+00   4.761E+03   2.946E+04   3.016E+12   4.486E+16   9.589E-08
   72   1.717E+00   4.844E+03   3.407E+04   3.589E+12   5.100E+16   1.090E-07
   73   1.991E+00   4.934E+03   3.926E+04   4.267E+12   5.770E+16   1.233E-07
   74   2.306E+00   5.045E+03   4.539E+04   5.149E+12   6.522E+16   1.394E-07
   75   2.668E+00   5.177E+03   5.246E+04   6.322E+12   7.345E+16   1.570E-07
   76   3.079E+00   5.338E+03   6.073E+04   8.063E+12   8.246E+16   1.763E-07
   77   3.528E+00   5.524E+03   6.998E+04   1.089E+13   9.180E+16   1.962E-07
   78   3.991E+00   5.734E+03   7.992E+04   1.587E+13   1.010E+17   2.158E-07
   79   4.438E+00   5.955E+03   8.979E+04   2.433E+13   1.092E+17   2.335E-07
   80   4.846E+00   6.201E+03   9.897E+04   3.945E+13   1.156E+17   2.471E-07
   81   5.198E+00   6.491E+03   1.070E+05   6.839E+13   1.194E+17   2.552E-07
   82   5.498E+00   6.787E+03   1.136E+05   1.167E+14   1.212E+17   2.590E-07
   83   5.758E+00   7.036E+03   1.203E+05   1.793E+14   1.237E+17   2.643E-07
   84   5.946E+00   7.470E+03   1.244E+05   3.483E+14   1.203E+17   2.572E-07
   85   6.062E+00   7.998E+03   1.267E+05   7.093E+14   1.140E+17   2.437E-07
   86   6.148E+00   8.486E+03   1.283E+05   1.266E+15   1.083E+17   2.314E-07
   87   6.230E+00   8.989E+03   1.299E+05   2.149E+15   1.026E+17   2.192E-07
   88   6.282E+00   9.276E+03   1.309E+05   2.829E+15   9.941E+16   2.125E-07
   89   6.347E+00   9.579E+03   1.320E+05   3.708E+15   9.611E+16   2.054E-07
   90   6.415E+00   9.877E+03   1.332E+05   4.747E+15   9.294E+16   1.986E-07
   91   6.478E+00   1.009E+04   1.343E+05   5.620E+15   9.073E+16   1.939E-07
