           rhox         t           p          xne        xnatom        rho
    1   4.253E-07   3.371E+03   1.850E-01   3.533E+07   3.976E+11   8.497E-13
    2   1.790E-06   3.388E+03   2.185E-01   4.150E+07   4.672E+11   9.986E-13
    3   3.420E-06   3.405E+03   2.588E-01   4.887E+07   5.505E+11   1.177E-12
    4   5.528E-06   3.421E+03   3.018E-01   5.670E+07   6.388E+11   1.365E-12
    5   8.224E-06   3.436E+03   3.444E-01   6.445E+07   7.261E+11   1.552E-12
    6   1.163E-05   3.438E+03   3.691E-01   6.890E+07   7.776E+11   1.662E-12
    7   1.625E-05   3.374E+03   3.193E-01   5.970E+07   6.855E+11   1.465E-12
    8   2.344E-05   2.952E+03   1.798E-01   2.405E+07   4.412E+11   9.431E-13
    9   2.418E-05   2.918E+03   2.041E-01   2.463E+07   5.068E+11   1.083E-12
   10   2.562E-05   2.924E+03   2.654E-01   3.052E+07   6.575E+11   1.405E-12
   11   2.764E-05   2.940E+03   3.554E-01   3.950E+07   8.759E+11   1.872E-12
   12   3.312E-05   3.004E+03   5.721E-01   6.604E+07   1.380E+12   2.949E-12
   13   5.357E-05   3.172E+03   1.792E+00   2.246E+08   4.093E+12   8.748E-12
   14   6.437E-05   3.227E+03   2.713E+00   3.430E+08   6.091E+12   1.302E-11
   15   7.860E-05   3.269E+03   3.663E+00   4.663E+08   8.119E+12   1.735E-11
   16   9.574E-05   3.299E+03   4.554E+00   5.819E+08   1.000E+13   2.138E-11
   17   1.167E-04   3.322E+03   5.434E+00   6.941E+08   1.185E+13   2.533E-11
   18   1.426E-04   3.339E+03   6.329E+00   8.045E+08   1.373E+13   2.935E-11
   19   1.752E-04   3.345E+03   7.122E+00   8.921E+08   1.542E+13   3.297E-11
   20   2.180E-04   3.336E+03   7.742E+00   9.397E+08   1.681E+13   3.594E-11
   21   2.762E-04   3.309E+03   8.373E+00   9.552E+08   1.833E+13   3.918E-11
   22   3.607E-04   3.262E+03   9.047E+00   9.245E+08   2.010E+13   4.296E-11
   23   4.814E-04   3.222E+03   1.027E+01   9.299E+08   2.309E+13   4.935E-11
   24   6.296E-04   3.237E+03   1.255E+01   1.111E+09   2.810E+13   6.007E-11
   25   7.844E-04   3.295E+03   1.550E+01   1.477E+09   3.408E+13   7.283E-11
   26   9.462E-04   3.359E+03   1.835E+01   1.903E+09   3.959E+13   8.462E-11
   27   1.130E-03   3.416E+03   1.948E+01   2.202E+09   4.131E+13   8.829E-11
   28   1.330E-03   3.627E+03   2.183E+01   3.123E+09   4.360E+13   9.320E-11
   29   1.542E-03   3.870E+03   2.643E+01   4.198E+09   4.946E+13   1.057E-10
   30   1.802E-03   3.768E+03   3.055E+01   4.610E+09   5.872E+13   1.255E-10
   31   2.133E-03   3.610E+03   3.375E+01   4.428E+09   6.773E+13   1.448E-10
   32   2.597E-03   3.536E+03   3.505E+01   4.177E+09   7.180E+13   1.535E-10
   33   3.245E-03   3.529E+03   3.417E+01   4.051E+09   7.016E+13   1.500E-10
   34   4.056E-03   3.635E+03   3.370E+01   4.540E+09   6.715E+13   1.435E-10
   35   5.038E-03   3.684E+03   3.832E+01   5.292E+09   7.535E+13   1.611E-10
   36   6.022E-03   3.714E+03   5.706E+01   7.606E+09   1.113E+14   2.379E-10
   37   6.978E-03   3.762E+03   7.839E+01   1.037E+10   1.510E+14   3.227E-10
   38   8.043E-03   3.780E+03   9.665E+01   1.256E+10   1.852E+14   3.959E-10
   39   9.355E-03   3.801E+03   1.088E+02   1.413E+10   2.074E+14   4.434E-10
   40   1.097E-02   3.833E+03   1.218E+02   1.598E+10   2.302E+14   4.920E-10
   41   1.289E-02   3.880E+03   1.386E+02   1.850E+10   2.587E+14   5.530E-10
   42   1.508E-02   3.945E+03   1.660E+02   2.261E+10   3.048E+14   6.515E-10
   43   1.752E-02   4.002E+03   2.018E+02   2.772E+10   3.653E+14   7.807E-10
   44   2.026E-02   4.051E+03   2.468E+02   3.398E+10   4.413E+14   9.433E-10
   45   2.333E-02   4.109E+03   3.010E+02   4.167E+10   5.305E+14   1.134E-09
   46   2.682E-02   4.168E+03   3.607E+02   5.024E+10   6.269E+14   1.340E-09
   47   3.086E-02   4.221E+03   4.243E+02   5.934E+10   7.281E+14   1.556E-09
   48   3.561E-02   4.268E+03   4.927E+02   6.907E+10   8.362E+14   1.787E-09
   49   4.122E-02   4.301E+03   5.692E+02   7.960E+10   9.586E+14   2.049E-09
   50   4.780E-02   4.312E+03   6.510E+02   9.021E+10   1.094E+15   2.338E-09
   51   5.552E-02   4.332E+03   7.456E+02   1.027E+11   1.247E+15   2.665E-09
   52   6.463E-02   4.348E+03   8.605E+02   1.175E+11   1.433E+15   3.064E-09
   53   7.520E-02   4.349E+03   1.010E+03   1.355E+11   1.682E+15   3.596E-09
   54   8.696E-02   4.345E+03   1.231E+03   1.611E+11   2.052E+15   4.386E-09
   55   9.989E-02   4.344E+03   1.494E+03   1.907E+11   2.491E+15   5.325E-09
   56   1.147E-01   4.339E+03   1.778E+03   2.211E+11   2.968E+15   6.344E-09
   57   1.322E-01   4.302E+03   2.073E+03   2.461E+11   3.491E+15   7.462E-09
   58   1.525E-01   4.274E+03   2.505E+03   2.825E+11   4.247E+15   9.078E-09
   59   1.746E-01   4.277E+03   3.188E+03   3.447E+11   5.403E+15   1.155E-08
   60   1.981E-01   4.285E+03   4.020E+03   4.185E+11   6.799E+15   1.453E-08
   61   2.257E-01   4.287E+03   4.648E+03   4.708E+11   7.858E+15   1.680E-08
   62   2.594E-01   4.302E+03   5.180E+03   5.200E+11   8.728E+15   1.866E-08
   63   3.002E-01   4.333E+03   5.775E+03   5.830E+11   9.663E+15   2.065E-08
   64   3.491E-01   4.339E+03   6.509E+03   6.448E+11   1.088E+16   2.324E-08
   65   4.078E-01   4.342E+03   7.390E+03   7.146E+11   1.234E+16   2.637E-08
   66   4.782E-01   4.343E+03   8.399E+03   7.900E+11   1.402E+16   2.998E-08
   67   5.621E-01   4.351E+03   9.591E+03   8.825E+11   1.599E+16   3.417E-08
   68   6.613E-01   4.367E+03   1.098E+04   9.964E+11   1.823E+16   3.897E-08
   69   7.778E-01   4.390E+03   1.262E+04   1.134E+12   2.085E+16   4.457E-08
   70   9.140E-01   4.414E+03   1.447E+04   1.292E+12   2.378E+16   5.084E-08
   71   1.073E+00   4.447E+03   1.661E+04   1.484E+12   2.710E+16   5.792E-08
   72   1.256E+00   4.500E+03   1.910E+04   1.738E+12   3.079E+16   6.581E-08
   73   1.466E+00   4.569E+03   2.201E+04   2.064E+12   3.494E+16   7.468E-08
   74   1.706E+00   4.644E+03   2.531E+04   2.451E+12   3.953E+16   8.449E-08
   75   1.983E+00   4.728E+03   2.916E+04   2.923E+12   4.473E+16   9.559E-08
   76   2.299E+00   4.825E+03   3.373E+04   3.516E+12   5.068E+16   1.083E-07
   77   2.662E+00   4.929E+03   3.894E+04   4.227E+12   5.727E+16   1.224E-07
   78   3.083E+00   5.037E+03   4.477E+04   5.068E+12   6.443E+16   1.377E-07
   79   3.570E+00   5.147E+03   5.145E+04   6.096E+12   7.246E+16   1.549E-07
   80   4.131E+00   5.273E+03   5.923E+04   7.487E+12   8.142E+16   1.740E-07
   81   4.766E+00   5.415E+03   6.801E+04   9.470E+12   9.102E+16   1.945E-07
   82   5.465E+00   5.577E+03   7.765E+04   1.254E+13   1.009E+17   2.156E-07
   83   6.205E+00   5.751E+03   8.802E+04   1.737E+13   1.109E+17   2.370E-07
   84   6.962E+00   5.926E+03   9.902E+04   2.467E+13   1.210E+17   2.587E-07
   85   7.708E+00   6.116E+03   1.095E+05   3.609E+13   1.297E+17   2.773E-07
   86   8.408E+00   6.338E+03   1.195E+05   5.571E+13   1.366E+17   2.919E-07
   87   9.001E+00   6.672E+03   1.290E+05   1.030E+14   1.400E+17   2.992E-07
   88   9.536E+00   6.861E+03   1.374E+05   1.456E+14   1.450E+17   3.098E-07
   89   1.004E+01   7.116E+03   1.460E+05   2.243E+14   1.484E+17   3.173E-07
   90   1.031E+01   7.776E+03   1.517E+05   5.852E+14   1.407E+17   3.007E-07
   91   1.047E+01   8.450E+03   1.548E+05   1.338E+15   1.313E+17   2.807E-07
   92   1.059E+01   8.907E+03   1.570E+05   2.185E+15   1.255E+17   2.682E-07
   93   1.069E+01   9.313E+03   1.588E+05   3.233E+15   1.203E+17   2.570E-07
   94   1.078E+01   9.698E+03   1.603E+05   4.534E+15   1.152E+17   2.463E-07
