           rhox         t           p          xne        xnatom        rho
   71   2.279E-04   5.003E+03   2.056E+00   7.194E+09   2.969E+12   6.346E-12
   72   2.380E-04   5.062E+03   2.232E+00   8.988E+09   3.185E+12   6.807E-12
   73   2.862E-04   5.300E+03   3.058E+00   2.098E+10   4.158E+12   8.887E-12
   74   2.921E-04   5.290E+03   3.106E+00   2.054E+10   4.233E+12   9.047E-12
   75   3.013E-04   5.276E+03   3.142E+00   1.989E+10   4.294E+12   9.178E-12
   76   3.132E-04   5.262E+03   3.173E+00   1.921E+10   4.349E+12   9.295E-12
   77   3.501E-04   5.076E+03   3.259E+00   1.138E+10   4.639E+12   9.916E-12
   78   3.731E-04   4.614E+03   3.102E+00   2.583E+09   4.867E+12   1.040E-11
   79   3.808E-04   4.515E+03   2.986E+00   1.831E+09   4.788E+12   1.023E-11
   80   3.908E-04   4.433E+03   2.869E+00   1.381E+09   4.686E+12   1.002E-11
   81   4.009E-04   4.457E+03   2.875E+00   1.489E+09   4.671E+12   9.984E-12
   82   4.110E-04   4.488E+03   2.912E+00   1.655E+09   4.698E+12   1.004E-11
   83   4.237E-04   4.540E+03   3.032E+00   2.007E+09   4.835E+12   1.033E-11
   84   4.482E-04   4.672E+03   3.813E+00   3.495E+09   5.909E+12   1.263E-11
   85   4.609E-04   4.678E+03   4.498E+00   3.900E+09   6.961E+12   1.488E-11
   86   4.824E-04   4.650E+03   5.306E+00   3.909E+09   8.262E+12   1.766E-11
   87   5.243E-04   4.286E+03   6.154E+00   1.522E+09   1.040E+13   2.223E-11
   88   5.442E-04   4.121E+03   6.282E+00   1.188E+09   1.104E+13   2.360E-11
   89   5.696E-04   3.989E+03   6.512E+00   1.130E+09   1.182E+13   2.527E-11
   90   5.971E-04   3.942E+03   7.016E+00   1.200E+09   1.289E+13   2.755E-11
   91   6.267E-04   3.912E+03   7.487E+00   1.273E+09   1.386E+13   2.962E-11
   92   6.580E-04   3.900E+03   7.915E+00   1.341E+09   1.470E+13   3.142E-11
   93   6.906E-04   3.907E+03   8.237E+00   1.394E+09   1.527E+13   3.264E-11
   94   7.241E-04   3.921E+03   8.509E+00   1.440E+09   1.572E+13   3.359E-11
   95   7.581E-04   3.945E+03   8.686E+00   1.473E+09   1.595E+13   3.409E-11
   96   7.925E-04   3.968E+03   8.830E+00   1.501E+09   1.612E+13   3.445E-11
   97   8.268E-04   3.977E+03   8.822E+00   1.502E+09   1.607E+13   3.434E-11
   98   9.150E-04   3.981E+03   8.755E+00   1.492E+09   1.593E+13   3.405E-11
   99   2.929E-03   3.929E+03   2.953E+01   4.714E+09   5.444E+13   1.164E-10
  100   3.617E-03   3.721E+03   4.207E+01   5.909E+09   8.192E+13   1.751E-10
  101   4.434E-03   3.643E+03   5.245E+01   6.600E+09   1.043E+14   2.230E-10
  102   4.861E-03   3.770E+03   4.735E+01   6.785E+09   9.097E+13   1.944E-10
  103   4.972E-03   3.858E+03   4.050E+01   6.190E+09   7.604E+13   1.625E-10
  104   5.089E-03   3.941E+03   2.976E+01   4.758E+09   5.469E+13   1.169E-10
  105   5.165E-03   3.953E+03   1.953E+01   3.198E+09   3.579E+13   7.649E-11
  106   5.209E-03   3.832E+03   1.057E+01   1.760E+09   1.997E+13   4.269E-11
  107   5.233E-03   3.654E+03   5.743E+00   9.611E+08   1.138E+13   2.433E-11
  108   5.248E-03   3.442E+03   3.237E+00   5.148E+08   6.813E+12   1.456E-11
  109   5.260E-03   3.429E+03   2.925E+00   4.663E+08   6.178E+12   1.320E-11
  110   5.273E-03   3.474E+03   3.141E+00   5.127E+08   6.549E+12   1.400E-11
  111   5.293E-03   3.537E+03   3.520E+00   5.874E+08   7.209E+12   1.541E-11
  112   5.391E-03   3.672E+03   5.051E+00   8.558E+08   9.964E+12   2.130E-11
  113   5.456E-03   3.547E+03   6.071E+00   9.648E+08   1.240E+13   2.650E-11
  114   5.476E-03   3.531E+03   6.631E+00   1.031E+09   1.360E+13   2.908E-11
  115   5.507E-03   3.523E+03   7.290E+00   1.113E+09   1.499E+13   3.204E-11
  116   5.540E-03   3.527E+03   8.071E+00   1.221E+09   1.658E+13   3.543E-11
  117   5.577E-03   3.533E+03   8.764E+00   1.317E+09   1.797E+13   3.841E-11
  118   5.617E-03   3.540E+03   9.360E+00   1.402E+09   1.915E+13   4.094E-11
  119   5.659E-03   3.538E+03   9.898E+00   1.469E+09   2.027E+13   4.332E-11
  120   5.703E-03   3.529E+03   1.044E+01   1.526E+09   2.144E+13   4.582E-11
  121   5.749E-03   3.514E+03   1.085E+01   1.553E+09   2.237E+13   4.781E-11
  122   5.796E-03   3.500E+03   1.110E+01   1.562E+09   2.297E+13   4.910E-11
  123   5.841E-03   3.502E+03   1.044E+01   1.486E+09   2.159E+13   4.614E-11
  124   5.881E-03   3.502E+03   9.583E+00   1.383E+09   1.982E+13   4.237E-11
  125   5.917E-03   3.500E+03   8.418E+00   1.236E+09   1.742E+13   3.724E-11
