           rhox         t           p          xne        xnatom        rho
    1   3.759E-07   3.957E+03   5.260E-01   1.208E+08   9.628E+11   2.058E-12
    2   1.391E-06   3.953E+03   5.303E-01   1.206E+08   9.716E+11   2.077E-12
    3   2.731E-06   3.948E+03   5.399E-01   1.213E+08   9.905E+11   2.117E-12
    4   4.512E-06   3.942E+03   5.571E-01   1.231E+08   1.024E+12   2.188E-12
    5   6.879E-06   3.934E+03   5.814E-01   1.258E+08   1.070E+12   2.288E-12
    6   1.003E-05   3.925E+03   6.195E-01   1.309E+08   1.143E+12   2.443E-12
    7   1.423E-05   3.918E+03   6.791E-01   1.399E+08   1.255E+12   2.683E-12
    8   1.977E-05   3.913E+03   7.695E-01   1.547E+08   1.424E+12   3.044E-12
    9   2.707E-05   3.909E+03   9.122E-01   1.788E+08   1.690E+12   3.612E-12
   10   3.647E-05   3.915E+03   1.156E+00   2.217E+08   2.139E+12   4.572E-12
   11   4.816E-05   3.925E+03   1.523E+00   2.860E+08   2.810E+12   6.007E-12
   12   6.256E-05   3.924E+03   1.968E+00   3.612E+08   3.632E+12   7.764E-12
   13   8.049E-05   3.927E+03   2.418E+00   4.375E+08   4.460E+12   9.533E-12
   14   1.035E-04   3.924E+03   2.862E+00   5.113E+08   5.283E+12   1.129E-11
   15   1.322E-04   3.880E+03   3.391E+00   5.937E+08   6.331E+12   1.353E-11
   16   1.674E-04   3.797E+03   3.958E+00   6.845E+08   7.551E+12   1.614E-11
   17   2.099E-04   3.723E+03   4.641E+00   7.950E+08   9.028E+12   1.930E-11
   18   2.612E-04   3.692E+03   5.500E+00   9.305E+08   1.079E+13   2.307E-11
   19   3.239E-04   3.685E+03   6.404E+00   1.072E+09   1.259E+13   2.691E-11
   20   3.964E-04   3.733E+03   7.338E+00   1.230E+09   1.424E+13   3.044E-11
   21   4.566E-04   3.777E+03   5.775E+00   9.838E+08   1.107E+13   2.367E-11
   22   4.698E-04   3.725E+03   4.510E+00   7.737E+08   8.771E+12   1.875E-11
   23   4.833E-04   3.645E+03   3.081E+00   5.340E+08   6.124E+12   1.309E-11
   24   4.925E-04   3.520E+03   2.108E+00   3.644E+08   4.338E+12   9.272E-12
   25   4.987E-04   3.380E+03   1.260E+00   2.135E+08   2.700E+12   5.770E-12
   26   5.029E-04   3.263E+03   8.755E-01   1.410E+08   1.944E+12   4.155E-12
   27   5.060E-04   3.150E+03   5.755E-01   8.647E+07   1.324E+12   2.829E-12
   28   5.085E-04   3.115E+03   5.038E-01   7.368E+07   1.172E+12   2.504E-12
   29   5.109E-04   3.090E+03   4.540E-01   6.498E+07   1.065E+12   2.275E-12
   30   5.133E-04   3.117E+03   4.909E-01   7.235E+07   1.141E+12   2.439E-12
   31   5.160E-04   3.146E+03   5.353E-01   8.098E+07   1.233E+12   2.635E-12
   32   5.189E-04   3.171E+03   5.965E-01   9.160E+07   1.363E+12   2.913E-12
   33   5.221E-04   3.195E+03   6.649E-01   1.034E+08   1.508E+12   3.223E-12
   34   5.258E-04   3.214E+03   7.525E-01   1.175E+08   1.696E+12   3.626E-12
   35   5.299E-04   3.233E+03   8.493E-01   1.331E+08   1.903E+12   4.068E-12
   36   5.345E-04   3.255E+03   9.730E-01   1.532E+08   2.166E+12   4.629E-12
   37   5.397E-04   3.276E+03   1.098E+00   1.738E+08   2.429E+12   5.192E-12
   38   5.454E-04   3.295E+03   1.222E+00   1.940E+08   2.686E+12   5.741E-12
   39   5.518E-04   3.313E+03   1.363E+00   2.171E+08   2.980E+12   6.370E-12
   40   5.590E-04   3.332E+03   1.525E+00   2.435E+08   3.317E+12   7.089E-12
   41   5.670E-04   3.350E+03   1.726E+00   2.756E+08   3.733E+12   7.979E-12
   42   5.760E-04   3.369E+03   1.962E+00   3.131E+08   4.220E+12   9.019E-12
   43   5.861E-04   3.385E+03   2.202E+00   3.511E+08   4.712E+12   1.007E-11
   44   5.972E-04   3.400E+03   2.448E+00   3.898E+08   5.216E+12   1.115E-11
   45   6.092E-04   3.414E+03   2.655E+00   4.232E+08   5.635E+12   1.204E-11
   46   6.252E-04   3.427E+03   2.856E+00   4.558E+08   6.038E+12   1.291E-11
   47   6.916E-04   3.320E+03   2.111E+00   3.177E+08   4.606E+12   9.844E-12
   48   6.970E-04   3.245E+03   1.833E+00   2.570E+08   4.092E+12   8.745E-12
   49   7.048E-04   3.169E+03   1.540E+00   1.983E+08   3.520E+12   7.523E-12
   50   7.120E-04   3.100E+03   1.443E+00   1.650E+08   3.372E+12   7.207E-12
   51   7.191E-04   3.031E+03   1.364E+00   1.346E+08   3.260E+12   6.968E-12
   52   7.267E-04   2.967E+03   1.435E+00   1.163E+08   3.505E+12   7.492E-12
   53   7.353E-04   2.917E+03   1.588E+00   1.062E+08   3.946E+12   8.433E-12
   54   7.459E-04   2.924E+03   2.046E+00   1.288E+08   5.070E+12   1.084E-11
   55   7.602E-04   2.951E+03   2.788E+00   1.734E+08   6.848E+12   1.464E-11
   56   7.802E-04   3.056E+03   4.063E+00   3.128E+08   9.634E+12   2.059E-11
   57   8.088E-04   3.149E+03   5.838E+00   5.190E+08   1.344E+13   2.872E-11
   58   8.491E-04   3.230E+03   8.465E+00   8.224E+08   1.899E+13   4.059E-11
   59   9.352E-04   3.291E+03   1.182E+01   1.198E+09   2.602E+13   5.562E-11
   60   1.237E-03   3.369E+03   2.529E+01   2.466E+09   5.439E+13   1.163E-10
   61   1.423E-03   3.395E+03   3.127E+01   3.038E+09   6.675E+13   1.427E-10
   62   1.683E-03   3.406E+03   3.279E+01   3.211E+09   6.976E+13   1.491E-10
   63   2.028E-03   3.445E+03   3.059E+01   3.269E+09   6.434E+13   1.375E-10
   64   2.478E-03   3.479E+03   3.340E+01   3.696E+09   6.957E+13   1.487E-10
   65   2.937E-03   3.512E+03   4.230E+01   4.673E+09   8.729E+13   1.866E-10
   66   3.456E-03   3.550E+03   4.957E+01   5.602E+09   1.012E+14   2.162E-10
   67   4.053E-03   3.594E+03   5.549E+01   6.506E+09   1.119E+14   2.391E-10
   68   4.841E-03   3.593E+03   5.281E+01   6.241E+09   1.065E+14   2.276E-10
   69   5.978E-03   3.562E+03   5.215E+01   5.928E+09   1.061E+14   2.267E-10
   70   7.620E-03   3.611E+03   4.412E+01   5.524E+09   8.852E+13   1.892E-10
   71   9.733E-03   3.701E+03   5.069E+01   6.808E+09   9.923E+13   2.121E-10
   72   1.136E-02   3.755E+03   7.597E+01   1.004E+10   1.466E+14   3.133E-10
   73   1.358E-02   3.806E+03   6.747E+01   9.451E+09   1.284E+14   2.745E-10
   74   1.680E-02   3.908E+03   7.922E+01   1.156E+10   1.469E+14   3.139E-10
   75   1.970E-02   3.980E+03   1.129E+02   1.641E+10   2.055E+14   4.393E-10
   76   2.286E-02   4.057E+03   1.459E+02   2.132E+10   2.606E+14   5.569E-10
   77   2.624E-02   4.176E+03   2.076E+02   3.054E+10   3.600E+14   7.695E-10
   78   2.942E-02   4.236E+03   2.908E+02   4.233E+10   4.973E+14   1.063E-09
   79   3.284E-02   4.276E+03   3.776E+02   5.439E+10   6.396E+14   1.367E-09
   80   3.657E-02   4.295E+03   4.733E+02   6.722E+10   7.984E+14   1.706E-09
   81   4.077E-02   4.305E+03   5.611E+02   7.871E+10   9.440E+14   2.018E-09
   82   4.575E-02   4.296E+03   6.306E+02   8.713E+10   1.063E+15   2.273E-09
   83   5.195E-02   4.307E+03   6.677E+02   9.211E+10   1.123E+15   2.401E-09
   84   6.027E-02   4.329E+03   6.627E+02   9.224E+10   1.109E+15   2.370E-09
   85   7.186E-02   4.357E+03   6.384E+02   9.003E+10   1.061E+15   2.269E-09
   86   8.760E-02   4.384E+03   6.452E+02   9.172E+10   1.066E+15   2.279E-09
   87   1.062E-01   4.421E+03   8.150E+02   1.148E+11   1.335E+15   2.854E-09
   88   1.236E-01   4.333E+03   1.053E+03   1.396E+11   1.760E+15   3.762E-09
   89   1.439E-01   4.270E+03   1.204E+03   1.520E+11   2.042E+15   4.365E-09
   90   1.685E-01   4.240E+03   1.346E+03   1.641E+11   2.299E+15   4.915E-09
   91   1.996E-01   4.202E+03   1.474E+03   1.725E+11   2.542E+15   5.434E-09
   92   2.362E-01   4.201E+03   1.743E+03   1.979E+11   3.006E+15   6.424E-09
   93   2.772E-01   4.199E+03   2.076E+03   2.278E+11   3.584E+15   7.659E-09
   94   3.259E-01   4.193E+03   2.426E+03   2.569E+11   4.193E+15   8.962E-09
   95   3.835E-01   4.175E+03   2.829E+03   2.852E+11   4.913E+15   1.050E-08
   96   4.497E-01   4.208E+03   3.307E+03   3.335E+11   5.697E+15   1.218E-08
   97   5.267E-01   4.253E+03   3.746E+03   3.843E+11   6.383E+15   1.364E-08
   98   6.146E-01   4.346E+03   4.236E+03   4.594E+11   7.065E+15   1.510E-08
   99   7.190E-01   4.451E+03   4.749E+03   5.443E+11   7.731E+15   1.652E-08
  100   8.401E-01   4.544E+03   5.498E+03   6.515E+11   8.767E+15   1.874E-08
  101   9.748E-01   4.631E+03   6.638E+03   8.022E+11   1.039E+16   2.220E-08
