           rhox         t           p          xne        xnatom        rho
  102   1.131E+00   4.704E+03   7.515E+03   9.266E+11   1.157E+16   2.474E-08
  103   1.354E+00   4.829E+03   8.178E+03   1.062E+12   1.227E+16   2.622E-08
  104   1.497E+00   4.879E+03   1.083E+04   1.391E+12   1.609E+16   3.439E-08
  105   1.514E+00   4.875E+03   9.207E+03   1.207E+12   1.368E+16   2.924E-08
  106   1.537E+00   4.867E+03   7.102E+03   9.599E+11   1.057E+16   2.259E-08
  107   1.555E+00   4.891E+03   5.685E+03   8.045E+11   8.421E+15   1.800E-08
  108   1.569E+00   4.928E+03   4.061E+03   6.231E+11   5.969E+15   1.276E-08
  109   1.581E+00   4.963E+03   3.743E+03   6.027E+11   5.462E+15   1.167E-08
  110   1.592E+00   4.992E+03   3.490E+03   5.884E+11   5.064E+15   1.082E-08
  111   1.603E+00   5.019E+03   3.603E+03   6.233E+11   5.200E+15   1.111E-08
  112   1.617E+00   5.054E+03   3.711E+03   6.668E+11   5.319E+15   1.137E-08
  113   1.652E+00   5.287E+03   3.971E+03   1.025E+12   5.440E+15   1.163E-08
  114   1.661E+00   5.311E+03   4.044E+03   1.086E+12   5.514E+15   1.179E-08
  115   1.674E+00   5.343E+03   4.197E+03   1.183E+12   5.689E+15   1.216E-08
  116   1.687E+00   5.355E+03   4.514E+03   1.269E+12   6.106E+15   1.305E-08
  117   1.703E+00   5.326E+03   5.287E+03   1.331E+12   7.190E+15   1.537E-08
  118   1.721E+00   5.307E+03   6.247E+03   1.435E+12   8.526E+15   1.822E-08
  119   1.744E+00   5.294E+03   7.481E+03   1.590E+12   1.023E+16   2.187E-08
  120   1.771E+00   5.273E+03   9.003E+03   1.750E+12   1.237E+16   2.643E-08
  121   1.818E+00   5.230E+03   1.083E+04   1.886E+12   1.500E+16   3.207E-08
  122   2.099E+00   5.136E+03   1.583E+04   2.291E+12   2.233E+16   4.773E-08
  123   2.324E+00   5.149E+03   2.995E+04   3.905E+12   4.215E+16   9.009E-08
  124   2.513E+00   5.139E+03   3.757E+04   4.674E+12   5.298E+16   1.132E-07
  125   2.760E+00   5.106E+03   4.217E+04   5.035E+12   5.986E+16   1.279E-07
  126   3.060E+00   5.123E+03   4.786E+04   5.654E+12   6.772E+16   1.447E-07
  127   3.408E+00   5.160E+03   5.538E+04   6.534E+12   7.780E+16   1.663E-07
  128   3.802E+00   5.201E+03   6.235E+04   7.409E+12   8.690E+16   1.857E-07
  129   4.390E+00   5.237E+03   4.948E+04   6.295E+12   6.847E+16   1.463E-07
  130   5.288E+00   5.381E+03   5.467E+04   7.728E+12   7.363E+16   1.574E-07
  131   6.164E+00   5.444E+03   5.976E+04   8.835E+12   7.955E+16   1.700E-07
  132   6.984E+00   5.534E+03   1.002E+05   1.440E+13   1.312E+17   2.804E-07
  133   7.808E+00   5.617E+03   9.902E+04   1.571E+13   1.278E+17   2.730E-07
  134   9.334E+00   5.812E+03   7.049E+04   1.650E+13   8.787E+16   1.878E-07
  135   1.062E+01   6.085E+03   8.187E+04   2.885E+13   9.745E+16   2.083E-07
  136   1.199E+01   6.494E+03   8.993E+04   6.262E+13   1.003E+17   2.143E-07
  137   1.259E+01   6.492E+03   1.912E+05   9.415E+13   2.133E+17   4.559E-07
  138   1.296E+01   6.960E+03   2.252E+05   2.208E+14   2.342E+17   5.006E-07
  139   1.307E+01   7.545E+03   2.339E+05   5.342E+14   2.241E+17   4.790E-07
  140   1.323E+01   8.246E+03   2.433E+05   1.334E+15   2.124E+17   4.541E-07
  141   1.336E+01   9.057E+03   2.536E+05   3.237E+15   1.996E+17   4.266E-07
  142   1.340E+01   9.312E+03   2.563E+05   4.139E+15   1.952E+17   4.172E-07
  143   1.346E+01   9.616E+03   2.594E+05   5.442E+15   1.899E+17   4.059E-07
